"DATE","TIME PERIOD","Current account balance (BPS.M.N.AT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.BG.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.EE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.FR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.GR.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.IT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LU.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.LV.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.MT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.PT.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SI.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance (BPS.M.N.SK.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)","Current account balance, calendar and seasonally adjusted (BPS.M.Y.I10.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"1988-08-31","1988Aug","","","","2159.000"
"1988-09-30","1988Sep","","","","3808.000"
"1988-10-31","1988Oct","","","","4236.000"
"1988-11-30","1988Nov","","","","5770.000"
"1988-12-31","1988Dec","","","","6453.000"
"1989-01-31","1989Jan","","","","6140.000"
"1989-02-28","1989Feb","","","","4939.000"
"1989-03-31","1989Mar","","","","5681.000"
"1989-04-30","1989Apr","","","","4456.000"
"1989-05-31","1989May","","","","4563.000"
"1989-06-30","1989Jun","","","","5337.000"
"1989-07-31","1989Jul","","","","2885.000"
"1989-08-31","1989Aug","","","","3572.000"
"1989-09-30","1989Sep","","","","4783.000"
"1989-10-31","1989Oct","","","","4710.000"
"1989-11-30","1989Nov","","","","5108.000"
"1989-12-31","1989Dec","","","","4435.000"
"1990-01-31","1990Jan","","","0.000","5905.000"
"1990-02-28","1990Feb","","","0.000","4424.000"
"1990-03-31","1990Mar","","","0.000","6082.000"
"1990-04-30","1990Apr","","","0.000","3657.000"
"1990-05-31","1990May","","","0.000","5161.000"
"1990-06-30","1990Jun","","","0.000","1573.000"
"1990-07-31","1990Jul","","","0.000","2934.000"
"1990-08-31","1990Aug","","","0.000","2348.000"
"1990-09-30","1990Sep","","","0.000","2212.000"
"1990-10-31","1990Oct","","","0.000","3594.000"
"1990-11-30","1990Nov","","","0.000","1303.000"
"1990-12-31","1990Dec","","","0.000","2057.000"
"1991-01-31","1991Jan","","","0.000","-1817.000"
"1991-02-28","1991Feb","","","0.000","-1613.000"
"1991-03-31","1991Mar","","","0.000","-4127.000"
"1991-04-30","1991Apr","","","0.000","-1611.000"
"1991-05-31","1991May","","","0.000","-2659.000"
"1991-06-30","1991Jun","","","0.000","-3529.000"
"1991-07-31","1991Jul","","","0.000","-2982.000"
"1991-08-31","1991Aug","","","0.000","-1929.000"
"1991-09-30","1991Sep","","","0.000","-2035.000"
"1991-10-31","1991Oct","","","0.000","-1646.000"
"1991-11-30","1991Nov","","","0.000","-251.000"
